"Statistic Label","Year","County","Penalty Points Applied","UNIT","VALUE"
"Drivers cumulative penalty points","2022","Meath","1 penalty point","Number","141"
"Drivers cumulative penalty points","2022","Meath","2 penalty points","Number","1320"
"Drivers cumulative penalty points","2022","Meath","3 penalty points","Number","16208"
"Drivers cumulative penalty points","2022","Meath","4 penalty points","Number","228"
"Drivers cumulative penalty points","2022","Meath","5 penalty points","Number","1009"
"Drivers cumulative penalty points","2022","Meath","6 penalty points","Number","2627"
"Drivers cumulative penalty points","2022","Meath","7 penalty points","Number","35"
"Drivers cumulative penalty points","2022","Meath","8 penalty points","Number","107"
"Drivers cumulative penalty points","2022","Meath","9 penalty points","Number","396"
"Drivers cumulative penalty points","2022","Meath","10 penalty points","Number","24"
"Drivers cumulative penalty points","2022","Meath","11 penalty points","Number","27"
"Drivers cumulative penalty points","2022","Meath","12 penalty points","Number","20"
"Drivers cumulative penalty points","2022","Monaghan","Total penalty points","Number","5998"
"Drivers cumulative penalty points","2022","Monaghan","1 penalty point","Number","61"
"Drivers cumulative penalty points","2022","Monaghan","2 penalty points","Number","386"
"Drivers cumulative penalty points","2022","Monaghan","3 penalty points","Number","4354"
"Drivers cumulative penalty points","2022","Monaghan","4 penalty points","Number","71"
"Drivers cumulative penalty points","2022","Monaghan","5 penalty points","Number","425"
"Drivers cumulative penalty points","2022","Monaghan","6 penalty points","Number","564"
"Drivers cumulative penalty points","2022","Monaghan","7 penalty points","Number","11"
"Drivers cumulative penalty points","2022","Monaghan","8 penalty points","Number","31"
"Drivers cumulative penalty points","2022","Monaghan","9 penalty points","Number","75"
"Drivers cumulative penalty points","2022","Monaghan","10 penalty points","Number","9"
"Drivers cumulative penalty points","2022","Monaghan","11 penalty points","Number","7"
"Drivers cumulative penalty points","2022","Monaghan","12 penalty points","Number","4"
"Drivers cumulative penalty points","2022","Offaly","Total penalty points","Number","10723"
"Drivers cumulative penalty points","2022","Offaly","1 penalty point","Number","14"
"Drivers cumulative penalty points","2022","Offaly","2 penalty points","Number","584"
"Drivers cumulative penalty points","2022","Offaly","3 penalty points","Number","7615"
"Drivers cumulative penalty points","2022","Offaly","4 penalty points","Number","116"
"Drivers cumulative penalty points","2022","Offaly","5 penalty points","Number","616"
"Drivers cumulative penalty points","2022","Offaly","6 penalty points","Number","1400"
"Drivers cumulative penalty points","2022","Offaly","7 penalty points","Number","18"
"Drivers cumulative penalty points","2022","Offaly","8 penalty points","Number","78"
"Drivers cumulative penalty points","2022","Offaly","9 penalty points","Number","215"
"Drivers cumulative penalty points","2022","Offaly","10 penalty points","Number","19"
"Drivers cumulative penalty points","2022","Offaly","11 penalty points","Number","27"
"Drivers cumulative penalty points","2022","Offaly","12 penalty points","Number","21"
"Drivers cumulative penalty points","2022","Roscommon","Total penalty points","Number","7333"
"Drivers cumulative penalty points","2022","Roscommon","1 penalty point","Number","13"
"Drivers cumulative penalty points","2022","Roscommon","2 penalty points","Number","511"
"Drivers cumulative penalty points","2022","Roscommon","3 penalty points","Number","5168"
"Drivers cumulative penalty points","2022","Roscommon","4 penalty points","Number","89"
"Drivers cumulative penalty points","2022","Roscommon","5 penalty points","Number","429"
"Drivers cumulative penalty points","2022","Roscommon","6 penalty points","Number","878"
"Drivers cumulative penalty points","2022","Roscommon","7 penalty points","Number","17"
"Drivers cumulative penalty points","2022","Roscommon","8 penalty points","Number","62"
"Drivers cumulative penalty points","2022","Roscommon","9 penalty points","Number","126"
"Drivers cumulative penalty points","2022","Roscommon","10 penalty points","Number","19"
"Drivers cumulative penalty points","2022","Roscommon","11 penalty points","Number","11"
"Drivers cumulative penalty points","2022","Roscommon","12 penalty points","Number","10"
"Drivers cumulative penalty points","2022","Sligo","Total penalty points","Number","5743"
"Drivers cumulative penalty points","2022","Sligo","1 penalty point","Number","56"
"Drivers cumulative penalty points","2022","Sligo","2 penalty points","Number","409"
"Drivers cumulative penalty points","2022","Sligo","3 penalty points","Number","4306"
"Drivers cumulative penalty points","2022","Sligo","4 penalty points","Number","57"
"Drivers cumulative penalty points","2022","Sligo","5 penalty points","Number","235"
"Drivers cumulative penalty points","2022","Sligo","6 penalty points","Number","551"
"Drivers cumulative penalty points","2022","Sligo","7 penalty points","Number","10"
"Drivers cumulative penalty points","2022","Sligo","8 penalty points","Number","28"
"Drivers cumulative penalty points","2022","Sligo","9 penalty points","Number","69"
"Drivers cumulative penalty points","2022","Sligo","10 penalty points","Number","7"
"Drivers cumulative penalty points","2022","Sligo","11 penalty points","Number","10"
"Drivers cumulative penalty points","2022","Sligo","12 penalty points","Number","5"
"Drivers cumulative penalty points","2022","Tipperary","Total penalty points","Number","20303"
"Drivers cumulative penalty points","2022","Tipperary","1 penalty point","Number","55"
"Drivers cumulative penalty points","2022","Tipperary","2 penalty points","Number","1268"
"Drivers cumulative penalty points","2022","Tipperary","3 penalty points","Number","14290"
"Drivers cumulative penalty points","2022","Tipperary","4 penalty points","Number","244"
"Drivers cumulative penalty points","2022","Tipperary","5 penalty points","Number","1133"
"Drivers cumulative penalty points","2022","Tipperary","6 penalty points","Number","2600"
"Drivers cumulative penalty points","2022","Tipperary","7 penalty points","Number","36"
"Drivers cumulative penalty points","2022","Tipperary","8 penalty points","Number","146"
"Drivers cumulative penalty points","2022","Tipperary","9 penalty points","Number","406"
"Drivers cumulative penalty points","2022","Tipperary","10 penalty points","Number","48"
"Drivers cumulative penalty points","2022","Tipperary","11 penalty points","Number","43"
"Drivers cumulative penalty points","2022","Tipperary","12 penalty points","Number","34"
"Drivers cumulative penalty points","2022","Waterford","Total penalty points","Number","13227"
"Drivers cumulative penalty points","2022","Waterford","1 penalty point","Number","47"
"Drivers cumulative penalty points","2022","Waterford","2 penalty points","Number","1143"
"Drivers cumulative penalty points","2022","Waterford","3 penalty points","Number","8920"
"Drivers cumulative penalty points","2022","Waterford","4 penalty points","Number","216"
"Drivers cumulative penalty points","2022","Waterford","5 penalty points","Number","828"
"Drivers cumulative penalty points","2022","Waterford","6 penalty points","Number","1563"
"Drivers cumulative penalty points","2022","Waterford","7 penalty points","Number","36"
"Drivers cumulative penalty points","2022","Waterford","8 penalty points","Number","114"
"Drivers cumulative penalty points","2022","Waterford","9 penalty points","Number","274"
"Drivers cumulative penalty points","2022","Waterford","10 penalty points","Number","35"
"Drivers cumulative penalty points","2022","Waterford","11 penalty points","Number","28"
"Drivers cumulative penalty points","2022","Waterford","12 penalty points","Number","23"
"Drivers cumulative penalty points","2022","Westmeath","Total penalty points","Number","11406"
"Drivers cumulative penalty points","2022","Westmeath","1 penalty point","Number","29"
"Drivers cumulative penalty points","2022","Westmeath","2 penalty points","Number","671"
"Drivers cumulative penalty points","2022","Westmeath","3 penalty points","Number","8078"
"Drivers cumulative penalty points","2022","Westmeath","4 penalty points","Number","120"
"Drivers cumulative penalty points","2022","Westmeath","5 penalty points","Number","660"
"Drivers cumulative penalty points","2022","Westmeath","6 penalty points","Number","1423"
"Drivers cumulative penalty points","2022","Westmeath","7 penalty points","Number","31"
"Drivers cumulative penalty points","2022","Westmeath","8 penalty points","Number","98"
"Drivers cumulative penalty points","2022","Westmeath","9 penalty points","Number","214"
"Drivers cumulative penalty points","2022","Westmeath","10 penalty points","Number","29"
"Drivers cumulative penalty points","2022","Westmeath","11 penalty points","Number","29"
"Drivers cumulative penalty points","2022","Westmeath","12 penalty points","Number","24"
"Drivers cumulative penalty points","2022","Wexford","Total penalty points","Number","19655"
"Drivers cumulative penalty points","2022","Wexford","1 penalty point","Number","101"
"Drivers cumulative penalty points","2022","Wexford","2 penalty points","Number","1315"
"Drivers cumulative penalty points","2022","Wexford","3 penalty points","Number","13531"
"Drivers cumulative penalty points","2022","Wexford","4 penalty points","Number","281"
"Drivers cumulative penalty points","2022","Wexford","5 penalty points","Number","1069"
"Drivers cumulative penalty points","2022","Wexford","6 penalty points","Number","2537"
"Drivers cumulative penalty points","2022","Wexford","7 penalty points","Number","58"
"Drivers cumulative penalty points","2022","Wexford","8 penalty points","Number","192"
"Drivers cumulative penalty points","2022","Wexford","9 penalty points","Number","424"
"Drivers cumulative penalty points","2022","Wexford","10 penalty points","Number","58"
"Drivers cumulative penalty points","2022","Wexford","11 penalty points","Number","49"
"Drivers cumulative penalty points","2022","Wexford","12 penalty points","Number","40"
"Drivers cumulative penalty points","2022","Wicklow","Total penalty points","Number","19415"
"Drivers cumulative penalty points","2022","Wicklow","1 penalty point","Number","64"
"Drivers cumulative penalty points","2022","Wicklow","2 penalty points","Number","1091"
"Drivers cumulative penalty points","2022","Wicklow","3 penalty points","Number","13872"
"Drivers cumulative penalty points","2022","Wicklow","4 penalty points","Number","223"
"Drivers cumulative penalty points","2022","Wicklow","5 penalty points","Number","857"
"Drivers cumulative penalty points","2022","Wicklow","6 penalty points","Number","2595"
"Drivers cumulative penalty points","2022","Wicklow","7 penalty points","Number","46"
"Drivers cumulative penalty points","2022","Wicklow","8 penalty points","Number","153"
"Drivers cumulative penalty points","2022","Wicklow","9 penalty points","Number","401"
"Drivers cumulative penalty points","2022","Wicklow","10 penalty points","Number","38"
"Drivers cumulative penalty points","2022","Wicklow","11 penalty points","Number","39"
"Drivers cumulative penalty points","2022","Wicklow","12 penalty points","Number","36"
"Drivers cumulative penalty points","2022","Foreign licence holders","Total penalty points","Number","44772"
"Drivers cumulative penalty points","2022","Foreign licence holders","1 penalty point","Number","253"
"Drivers cumulative penalty points","2022","Foreign licence holders","2 penalty points","Number","1886"
"Drivers cumulative penalty points","2022","Foreign licence holders","3 penalty points","Number","38227"
"Drivers cumulative penalty points","2022","Foreign licence holders","4 penalty points","Number","77"
"Drivers cumulative penalty points","2022","Foreign licence holders","5 penalty points","Number","731"
"Drivers cumulative penalty points","2022","Foreign licence holders","6 penalty points","Number","2935"
"Drivers cumulative penalty points","2022","Foreign licence holders","7 penalty points","Number","23"
"Drivers cumulative penalty points","2022","Foreign licence holders","8 penalty points","Number","139"
"Drivers cumulative penalty points","2022","Foreign licence holders","9 penalty points","Number","417"
"Drivers cumulative penalty points","2022","Foreign licence holders","10 penalty points","Number","14"
"Drivers cumulative penalty points","2022","Foreign licence holders","11 penalty points","Number","32"
"Drivers cumulative penalty points","2022","Foreign licence holders","12 penalty points","Number","38"
"Drivers cumulative penalty points","2022","No. of penality points recorded - unknown","Total penalty points","Number","1245"
"Drivers cumulative penalty points","2022","No. of penality points recorded - unknown","1 penalty point","Number","0"
"Drivers cumulative penalty points","2022","No. of penality points recorded - unknown","2 penalty points","Number","3"
"Drivers cumulative penalty points","2022","No. of penality points recorded - unknown","3 penalty points","Number","16"
"Drivers cumulative penalty points","2022","No. of penality points recorded - unknown","4 penalty points","Number","55"
"Drivers cumulative penalty points","2022","No. of penality points recorded - unknown","5 penalty points","Number","1168"
"Drivers cumulative penalty points","2022","No. of penality points recorded - unknown","6 penalty points","Number","1"
"Drivers cumulative penalty points","2022","No. of penality points recorded - unknown","7 penalty points","Number","0"
"Drivers cumulative penalty points","2022","No. of penality points recorded - unknown","8 penalty points","Number","0"
"Drivers cumulative penalty points","2022","No. of penality points recorded - unknown","9 penalty points","Number","2"
"Drivers cumulative penalty points","2022","No. of penality points recorded - unknown","10 penalty points","Number","0"
"Drivers cumulative penalty points","2022","No. of penality points recorded - unknown","11 penalty points","Number","0"
"Drivers cumulative penalty points","2022","No. of penality points recorded - unknown","12 penalty points","Number","0"
"Drivers cumulative penalty points","2022","All penalty point endorsement notices","Total penalty points","Number","544936"
"Drivers cumulative penalty points","2022","All penalty point endorsement notices","1 penalty point","Number","3182"
"Drivers cumulative penalty points","2022","All penalty point endorsement notices","2 penalty points","Number","35808"
"Drivers cumulative penalty points","2022","All penalty point endorsement notices","3 penalty points","Number","390245"
"Drivers cumulative penalty points","2022","All penalty point endorsement notices","4 penalty points","Number","6728"
"Drivers cumulative penalty points","2022","All penalty point endorsement notices","5 penalty points","Number","31040"
"Drivers cumulative penalty points","2022","All penalty point endorsement notices","6 penalty points","Number","60673"
"Drivers cumulative penalty points","2022","All penalty point endorsement notices","7 penalty points","Number","1175"
"Drivers cumulative penalty points","2022","All penalty point endorsement notices","8 penalty points","Number","3789"
"Drivers cumulative penalty points","2022","All penalty point endorsement notices","9 penalty points","Number","9231"
"Drivers cumulative penalty points","2022","All penalty point endorsement notices","10 penalty points","Number","1194"
"Drivers cumulative penalty points","2022","All penalty point endorsement notices","11 penalty points","Number","989"
"Drivers cumulative penalty points","2022","All penalty point endorsement notices","12 penalty points","Number","882"
